student_id,attendance,cgpa,aptitude_score,coding_score,communication_score,mock_exam_score,backlogs,career_interest,placement_status,exam_selected
S00001,89,9.83,45,30,58,26,0,Data Scientist,In Progress,CAT
S00002,82,5.19,75,10,0,93,0,AI Researcher,Not Placed,RRB-NTPC
S00003,79,8.61,74,5,46,81,0,Cloud Engineer,Not Placed,RRB-NTPC
S00004,76,5.79,5,4,85,49,1,AI Researcher,Not Placed,CAT
S00005,73,9.35,43,99,31,58,1,Business Analyst,In Progress,GRE
S00006,90,5.57,14,42,28,90,1,Cloud Engineer,Not Placed,CAT
S00007,79,5.21,72,2,65,59,0,Business Analyst,Not Placed,CAT
S00008,94,6.64,78,15,14,79,1,Data Scientist,Not Placed,GRE
S00009,74,5.78,66,75,14,10,1,Cybersecurity,Not Placed,RRB-NTPC
S00010,96,5.71,71,95,23,69,0,Cybersecurity,In Progress,SkillsCert
S00011,63,9.3,1,22,97,56,1,Business Analyst,In Progress,SkillsCert
S00012,85,8.86,99,55,69,74,0,Cybersecurity,In Progress,GRE
S00013,74,6.45,52,91,41,17,1,Software Engineer,In Progress,No exam
S00014,71,6.21,79,68,24,97,1,Software Engineer,Not Placed,No exam
S00015,78,6.95,76,21,68,8,1,Business Analyst,Not Placed,No exam
S00016,94,6.33,1,71,96,75,1,Software Engineer,Placed,SkillsCert
S00017,78,9.28,5,35,46,62,0,Business Analyst,In Progress,GATE
S00018,76,8.9,84,80,81,85,0,Data Scientist,Placed,RRB-NTPC
S00019,87,7.44,65,93,37,0,1,Data Scientist,In Progress,GATE
S00020,90,7.1,27,58,90,19,1,Cloud Engineer,In Progress,No exam
S00021,64,5.51,97,40,93,98,3,Data Scientist,In Progress,RRB-NTPC
S00022,75,6.18,37,52,51,83,0,Data Scientist,Not Placed,SkillsCert
S00023,62,6.97,99,47,12,54,1,Cloud Engineer,Not Placed,No exam
S00024,80,7.77,19,58,11,13,1,Cybersecurity,Not Placed,SkillsCert
S00025,85,9.24,1,8,89,67,0,Cloud Engineer,In Progress,SkillsCert
S00026,87,5.91,92,25,10,77,1,Cloud Engineer,Not Placed,SkillsCert
S00027,71,7.7,1,45,86,91,1,Data Scientist,In Progress,GATE
S00028,63,6.87,70,68,4,59,0,Business Analyst,Not Placed,GRE
S00029,85,7.38,69,91,10,53,1,Cybersecurity,In Progress,GATE
S00030,83,6.23,81,31,93,34,0,Cybersecurity,In Progress,SkillsCert
S00031,94,9.02,50,46,9,18,0,Cloud Engineer,Not Placed,GATE
S00032,83,5.99,79,93,37,62,1,Software Engineer,In Progress,CAT
S00033,70,5.84,97,99,85,16,1,Cloud Engineer,Placed,RRB-NTPC
S00034,79,8.09,92,73,12,96,1,Data Scientist,In Progress,SkillsCert
S00035,97,8.38,87,2,16,85,1,Data Scientist,Not Placed,GATE
S00036,88,5.79,76,82,90,1,0,Software Engineer,Placed,RRB-NTPC
S00037,77,7.65,82,58,53,37,1,Cybersecurity,In Progress,SkillsCert
S00038,96,5.27,96,86,34,25,1,Cybersecurity,In Progress,GATE
S00039,87,9.49,68,57,32,16,0,Software Engineer,In Progress,No exam
S00040,83,5.34,71,28,94,31,1,Software Engineer,In Progress,CAT
S00041,64,5.86,25,49,53,4,5,Software Engineer,Not Placed,GATE
S00042,68,8.4,95,55,67,42,1,Data Scientist,In Progress,GRE
S00043,86,6.42,10,12,94,41,0,Business Analyst,In Progress,SkillsCert
S00044,69,7.04,100,70,51,88,1,Business Analyst,In Progress,No exam
S00045,68,7.69,4,6,5,82,0,Data Scientist,Not Placed,GATE
S00046,81,8.33,42,56,93,3,1,Software Engineer,Placed,CAT
S00047,84,7.97,47,74,7,70,0,Cybersecurity,Not Placed,GRE
S00048,71,6.86,28,35,39,65,1,Data Scientist,Not Placed,GRE
S00049,89,8.76,19,51,33,97,0,Business Analyst,In Progress,GATE
S00050,99,9.44,34,46,17,38,1,Cloud Engineer,Not Placed,GATE
S00051,88,7.85,37,26,15,48,1,Software Engineer,Not Placed,GRE
S00052,70,8.54,27,17,20,0,0,Data Scientist,Not Placed,GATE
S00053,90,6.69,78,3,30,87,0,Cloud Engineer,Not Placed,GRE
S00054,85,8.64,24,65,0,69,1,Cybersecurity,Not Placed,No exam
S00055,63,7.29,63,51,76,92,0,Cloud Engineer,In Progress,RRB-NTPC
S00056,84,6.12,7,95,92,4,1,Software Engineer,Placed,No exam
S00057,82,7.06,30,1,71,80,1,Business Analyst,Not Placed,No exam
S00058,78,5.21,55,27,45,20,1,Business Analyst,Not Placed,GATE
S00059,90,8.72,89,13,34,41,1,Software Engineer,Not Placed,GATE
S00060,83,9.52,89,36,41,42,0,Cybersecurity,In Progress,GRE
S00061,86,9.18,84,79,98,43,0,Data Scientist,Placed,SkillsCert
S00062,93,9.51,8,82,10,53,1,Software Engineer,In Progress,CAT
S00063,68,6.65,49,60,67,87,1,Software Engineer,In Progress,GRE
S00064,72,8.69,60,67,80,16,1,Cloud Engineer,Placed,GRE
S00065,83,7.49,94,88,65,70,1,Business Analyst,Placed,GATE
S00066,91,9.94,93,100,44,20,0,Business Analyst,Placed,CAT
S00067,71,8.29,76,67,28,6,0,Business Analyst,In Progress,GRE
S00068,71,9.28,53,92,41,50,0,Data Scientist,Placed,RRB-NTPC
S00069,62,7.99,87,35,55,57,0,AI Researcher,In Progress,CAT
S00070,90,6.6,58,32,27,9,1,AI Researcher,Not Placed,RRB-NTPC
S00071,67,5.27,78,30,17,95,3,Data Scientist,Not Placed,No exam
S00072,83,7.25,66,78,32,33,0,Business Analyst,In Progress,SkillsCert
S00073,97,7.68,72,62,8,12,0,Cybersecurity,Not Placed,CAT
S00074,99,8.61,10,32,96,93,1,Cloud Engineer,In Progress,GATE
S00075,60,5.7,15,44,47,96,5,Data Scientist,Not Placed,CAT
S00076,76,7.48,93,51,62,8,1,Cybersecurity,In Progress,RRB-NTPC
S00077,83,7.74,69,9,55,61,1,Software Engineer,Not Placed,No exam
S00078,77,7.48,52,28,3,75,0,AI Researcher,Not Placed,CAT
S00079,60,5.53,54,76,21,14,4,Cybersecurity,Not Placed,No exam
S00080,91,6.42,58,78,81,7,0,Business Analyst,In Progress,GATE
S00081,67,8.52,23,93,68,89,1,Cybersecurity,Placed,GATE
S00082,88,5.39,62,1,91,72,1,Data Scientist,Not Placed,SkillsCert
S00083,83,6.13,69,2,51,18,1,AI Researcher,Not Placed,SkillsCert
S00084,91,5.26,91,46,47,88,0,Software Engineer,Not Placed,No exam
S00085,62,5.62,17,11,77,75,3,Cybersecurity,Not Placed,No exam
S00086,94,5.47,13,47,55,27,0,Business Analyst,Not Placed,GRE
S00087,98,5.13,16,98,47,38,0,AI Researcher,In Progress,GRE
S00088,96,9.88,3,8,73,29,0,AI Researcher,In Progress,No exam
S00089,96,9.31,96,85,43,100,0,Cybersecurity,In Progress,SkillsCert
S00090,79,5.36,67,60,16,82,1,Business Analyst,Not Placed,GATE
S00091,74,6.36,70,22,26,86,0,Software Engineer,Not Placed,GRE
S00092,78,9.15,6,87,97,91,0,Cloud Engineer,Placed,GRE
S00093,95,9.4,42,100,78,81,0,Cloud Engineer,Placed,RRB-NTPC
S00094,89,6.83,64,5,84,14,0,Business Analyst,Not Placed,GATE
S00095,76,9.11,88,53,92,2,1,Data Scientist,Placed,No exam
S00096,78,6.27,51,3,25,97,0,Data Scientist,Not Placed,RRB-NTPC
S00097,60,5.7,10,33,84,86,5,Cloud Engineer,In Progress,GATE
S00098,94,8.04,43,66,53,80,1,Business Analyst,In Progress,SkillsCert
S00099,61,5.69,7,1,19,28,2,Software Engineer,Not Placed,RRB-NTPC
S00100,74,7.58,16,78,75,74,0,Business Analyst,Placed,SkillsCert
S00101,99,9.26,30,75,53,85,1,AI Researcher,In Progress,No exam
S00102,69,6.8,12,94,22,15,1,AI Researcher,In Progress,GRE
S00103,65,7.44,90,48,47,66,1,AI Researcher,In Progress,CAT
S00104,98,6.95,64,53,73,36,0,Data Scientist,In Progress,GRE
S00105,93,9.68,94,6,1,2,0,Data Scientist,Not Placed,SkillsCert
S00106,95,7.67,27,26,32,96,1,Cloud Engineer,Not Placed,GATE
S00107,98,6.78,97,28,89,39,0,Data Scientist,In Progress,CAT
S00108,70,5.23,62,96,1,89,1,Cloud Engineer,Not Placed,GATE
S00109,72,9.65,35,100,55,43,1,Cloud Engineer,Placed,No exam
S00110,72,5.32,99,38,100,97,1,Software Engineer,In Progress,GRE
S00111,67,5.56,5,57,1,99,3,Cloud Engineer,Not Placed,GATE
S00112,72,7.28,17,51,9,46,1,AI Researcher,Not Placed,GATE
S00113,78,8.07,40,34,34,32,1,Business Analyst,Not Placed,RRB-NTPC
S00114,78,5.39,23,30,0,15,1,Business Analyst,Not Placed,CAT
S00115,98,5.48,59,67,16,28,1,Data Scientist,Not Placed,RRB-NTPC
S00116,72,9.13,60,56,43,50,0,Business Analyst,In Progress,GRE
S00117,76,8.99,73,86,65,81,1,Cloud Engineer,Placed,GATE
S00118,100,8.64,37,80,16,6,1,Business Analyst,In Progress,CAT
S00119,62,5.96,76,1,63,89,3,Business Analyst,Not Placed,GRE
S00120,83,5.71,38,88,99,77,1,Cybersecurity,Placed,SkillsCert
S00121,89,9.45,71,65,20,34,0,Business Analyst,In Progress,CAT
S00122,72,9.64,69,30,53,41,1,AI Researcher,In Progress,RRB-NTPC
S00123,62,5.95,98,36,18,23,5,Software Engineer,Not Placed,No exam
S00124,92,8.69,60,75,41,39,0,AI Researcher,In Progress,RRB-NTPC
S00125,66,9.31,69,65,89,19,1,Cybersecurity,Placed,GATE
S00126,83,6.41,27,75,79,81,1,Software Engineer,In Progress,RRB-NTPC
S00127,81,8.2,47,65,91,20,0,Cybersecurity,Placed,SkillsCert
S00128,72,9.93,83,78,93,8,0,Software Engineer,Placed,SkillsCert
S00129,71,6.89,8,7,83,24,0,Cybersecurity,Not Placed,No exam
S00130,78,7.97,94,11,11,67,0,Cybersecurity,Not Placed,RRB-NTPC
S00131,74,5.89,79,81,58,63,1,Cloud Engineer,In Progress,CAT
S00132,85,7.62,39,20,87,4,1,AI Researcher,In Progress,RRB-NTPC
S00133,84,6.12,0,43,50,13,1,AI Researcher,Not Placed,No exam
S00134,92,7.94,88,67,23,36,0,Data Scientist,In Progress,SkillsCert
S00135,72,9.26,14,51,83,83,0,Cybersecurity,Placed,GRE
S00136,80,5.68,75,79,53,97,0,Software Engineer,In Progress,RRB-NTPC
S00137,60,7.77,79,31,67,70,0,Cybersecurity,In Progress,No exam
S00138,73,5.94,20,66,47,67,0,AI Researcher,In Progress,No exam
S00139,99,9.27,63,17,39,35,0,AI Researcher,Not Placed,CAT
S00140,87,7.31,22,41,37,80,1,Software Engineer,Not Placed,RRB-NTPC
S00141,81,9.01,15,92,25,49,1,Cybersecurity,In Progress,CAT
S00142,99,5.1,88,58,56,1,0,Software Engineer,Not Placed,GRE
S00143,100,6.22,89,9,95,70,0,Software Engineer,In Progress,No exam
S00144,94,6.37,60,27,43,99,0,AI Researcher,Not Placed,CAT
S00145,100,8.29,91,85,22,27,0,Data Scientist,In Progress,SkillsCert
S00146,60,7.81,99,14,86,31,1,Software Engineer,In Progress,SkillsCert
S00147,100,6.87,36,51,57,3,1,Cloud Engineer,In Progress,No exam
S00148,62,6.58,58,53,95,90,1,Data Scientist,In Progress,No exam
S00149,68,5.87,52,97,12,55,2,Software Engineer,In Progress,RRB-NTPC
S00150,72,9.06,26,90,84,25,0,Data Scientist,Placed,SkillsCert
S00151,65,8.23,75,66,65,80,1,Data Scientist,In Progress,SkillsCert
S00152,97,5.67,33,38,26,65,0,Business Analyst,Not Placed,RRB-NTPC
S00153,81,6.34,100,72,9,56,0,Cybersecurity,Not Placed,GATE
S00154,86,5.97,41,30,12,34,0,AI Researcher,Not Placed,CAT
S00155,61,5.08,89,82,85,29,4,AI Researcher,In Progress,No exam
S00156,72,9.24,95,44,75,46,0,AI Researcher,In Progress,CAT
S00157,60,8.48,76,0,70,90,1,Software Engineer,Not Placed,GRE
S00158,61,5.02,27,10,44,17,5,Cybersecurity,Not Placed,GATE
S00159,95,5.84,40,21,56,76,0,Cybersecurity,Not Placed,RRB-NTPC
S00160,77,5.08,11,62,62,46,0,Business Analyst,In Progress,RRB-NTPC
S00161,78,8.77,9,43,95,77,1,Cloud Engineer,Placed,GATE
S00162,70,5.05,53,22,49,93,0,AI Researcher,Not Placed,GATE
